Lat_Val,Lng_Val,City,Country,Temperature,Humidity,Cloudiness,Wind Speed
-86.09033843647025,2.5495954687554274,hermanus,za,52.56,89,0,4.41
-75.38464434058633,-129.76023598242392,rikitea,pf,80.05,100,92,13.35
-75.21394147263916,-76.47109006232085,ushuaia,ar,41,86,90,14.99
19.304703403807906,-91.56521665823797,sabancuy,mx,84.24,81,0,9.22
56.28146293679845,70.26378107421357,abatskoye,ru,29.38,92,88,12.57
-58.85642063743285,-80.3982526168797,punta arenas,cl,50,71,75,19.46
52.16390199706109,-52.07502185391155,saint anthony,ca,32.59,86,20,8.05
-32.34426570747431,-4.369413186415414,jamestown,sh,64.44,63,0,17.49
41.139855329648725,-102.9872391954785,sterling,us,37.42,80,20,6.64
30.18848996793787,56.49047366066927,bardsir,ir,50,46,20,4.7
52.112905775259435,98.73414351824306,orlik,ru,-3.2,60,0,1.95
69.96942591326692,-137.66382338177522,aklavik,ca,1.4,70,75,8.05
85.70904980362636,-81.65923231549931,qaanaaq,gl,-20.03,86,0,7.65
-11.58115261356427,-76.85131156714108,santa eulalia,pe,70.51,53,0,1.83
76.82641172827957,2.7696731462761477,barentsburg,sj,,,,
57.61695739684353,-177.795534098817,provideniya,ru,6.03,100,88,42.66
39.19244596168599,-123.87198595321347,ukiah,us,55.4,47,20,13.87
15.439278656257713,-68.49799068540804,cabo rojo,us,77,83,90,8.05
72.66992729469138,-100.28227706035739,thompson,ca,15.8,43,20,10.29
46.04270167850737,-59.56037898511636,glace bay,ca,19.4,67,75,18.34
53.675703726390225,-78.23415171904846,moose factory,ca,1.4,49,1,5.82
-61.371470859197984,78.06727648746107,souillac,mu,41.99,93,20,2.84
-9.850396743977058,-38.16592276308529,jeremoabo,br,80.5,57,8,13.13
-63.25911206181098,120.77895002070812,albany,au,23.41,41,1,10.29
72.82910000606302,-121.10390781603024,norman wells,ca,28.4,79,75,5.82
-23.27672662605248,26.08056765892735,lephepe,bw,,,,
-16.945007872646656,-164.12948188492757,avarua,ck,84.2,74,40,6.93
-54.58575338793912,-20.08340446758413,arraial do cabo,br,78.66,92,88,5.41
29.382813191954753,-9.034608685083498,tiznit,ma,52.51,94,0,2.84
-25.46951820166926,52.474044357437094,saint-pierre,re,29.39,100,75,18.34
-21.527618249038667,103.19970571113384,carnarvon,au,48.96,57,0,3.06
26.744628310597818,61.20065578638753,iranshahr,ir,66.2,64,0,6.93
0.8778059705354622,175.1629370049311,temaraia,ki,,,,
33.9378513529861,43.73773970026511,balad,iq,78.97,100,56,4.63
66.4537439997763,30.048688204027883,alakurtti,ru,18.4,90,68,6.98
-43.773566992173265,87.82382096682261,busselton,au,61.24,100,8,5.53
-20.693415435756535,152.4262612124046,yeppoon,au,84.2,54,75,8.05
-58.61294683189959,46.98862497354696,east london,za,68.49,100,92,25.77
-43.987841765700225,63.66377265978585,saint-philippe,re,13.98,31,1,9.17
-9.925706835260542,-49.53214370617005,miranorte,br,,,,
23.1940008862221,88.02548246063378,memari,in,73.4,78,40,3.36
28.51722051023654,-54.568289167607034,saint george,bm,55.4,62,20,4.7
-26.112552532735286,-170.8106763971921,vaini,to,66.55,95,24,1.83
-57.80873019705769,61.513304828083534,taolanaro,mg,,,,
-16.324683338825494,78.3835341773812,hithadhoo,mv,83.61,100,88,11.79
48.30880227637164,99.68206292222061,moron,mn,83.46,74,40,5.82
-44.01699467200839,-80.55834662233025,castro,cl,49.99,87,8,6.08
-85.8884909469999,163.00210289090285,bluff,nz,83.16,62,0,4.63
84.13397306271031,125.47482856561572,tiksi,ru,-32.45,57,24,3.29
21.956622481938567,-33.26175632932228,ponta do sol,cv,66.64,98,64,3.62
-56.153822305787706,24.697829895372735,bredasdorp,za,66.2,82,0,8.05
-11.534649193122164,-36.07060963734739,barra dos coqueiros,br,82.4,74,40,10.29
66.03587849343691,-40.53644420426534,tasiilaq,gl,33.8,55,92,25.28
4.014478308355379,-39.37574414647739,acarau,br,,,,
75.83253172446803,113.98297158101138,saskylakh,ru,-24.4,37,36,7.65
-30.116956602843892,74.40440033157097,bambous virieux,mu,78.8,94,90,19.46
42.64417201957093,-71.5867343767795,pepperell,us,23.83,38,1,8.05
9.199614622350907,-0.1529311898306105,yendi,gh,79.11,65,44,6.08
-6.732291041298495,-175.60027967256565,vaitupu,wf,,,,
-23.793905230655525,-71.02515061168799,antofagasta,cl,64.4,82,75,12.75
61.34683513384391,123.06692025637346,kysyl-syr,ru,-12.56,59,24,9.66
72.84802551795474,149.69179664362105,chokurdakh,ru,-32.09,56,0,8.43
70.0835059566057,72.9812997222788,yar-sale,ru,5.62,82,68,6.42
58.842200941302224,-6.054300248374204,stornoway,gb,,,,
85.32103775860014,82.21772408957736,dikson,ru,-14.05,87,0,20.74
48.81341232879569,-127.68899124503324,port hardy,ca,48.2,70,75,3.36
28.51499925150266,145.70127512437796,katsuura,jp,44.6,87,75,6.93
79.05133900272568,-103.91407918773359,yellowknife,ca,21.2,67,90,8.05
16.663213712124545,-94.33917091496139,zanatepec,mx,,,,
42.28259229396923,-60.45919178171455,port hawkesbury,ca,17.6,72,90,12.75
-3.225032756059548,161.50941296467153,buala,sb,84.96,90,12,3.4
22.69629140717511,82.47323496198453,katghora,in,59.35,86,0,2.39
16.063923646008078,-98.2948927086236,pinotepa nacional,mx,,,,
-6.747687571479133,0.4043611866387664,omboue,ga,79.51,100,92,10.45
86.95740968628661,134.57533958301673,nizhneyansk,ru,,,,
-21.035506668047887,-37.25854498492052,vila velha,br,82.4,78,0,4.7
13.933228257590201,-39.270007747650226,porto novo,cv,73.4,83,40,6.93
89.75708183185313,-118.79654401858778,tuktoyaktuk,ca,-4.01,83,20,11.41
23.792800305678696,-147.69533770414893,hilo,us,74.26,61,1,9.17
33.199993399022915,-26.33415622902922,ponta delgada,pt,60.8,93,75,8.05
57.89209647293583,-23.436934799260683,grindavik,is,44.6,100,75,16.11
16.036169404728767,-170.3620465314089,kapaa,us,77.65,74,1,17.22
-55.82119099611023,-5.678120991357559,cape town,za,64.4,68,0,12.75
84.17914458150369,29.31729799005612,mehamn,no,31.18,91,88,14.14
11.106736337575953,-94.7475644182736,ocos,gt,84.2,62,40,6.93
45.74335957842516,-70.64993741800295,lac-megantic,ca,6.04,60,1,20.8
-32.9701880957028,156.40240054120096,port macquarie,au,86,58,0,3.36
37.629862288687804,-50.88504482449591,torbay,ca,30.2,92,90,8.05
38.002164430718864,29.110839651057432,denizli,tr,55.4,54,0,6.93
-31.16090014225989,-47.40851786036697,torres,br,72.49,97,12,9.22
43.92301757108379,35.82126768944019,ordzhonikidze,ua,48.69,92,32,12.01
-66.55155991445666,176.48051115618182,kaitangata,nz,62.73,70,68,4.41
9.786231095839511,87.42468744230001,port blair,in,81.81,100,0,10.45
65.0899973904931,-164.77416242097203,nome,us,74.7,65,1,9.17
57.821992401391526,119.15963274781757,chara,ru,55.4,62,20,4.7
48.26017802761348,168.31898781049307,nikolskoye,ru,23,67,75,11.18
35.197427935482736,96.01363941967895,yumen,cn,27.76,66,0,5.19
66.41375444177771,-79.81397777252623,iqaluit,ca,14,85,90,2.24
76.7400651216198,-62.610074430427886,narsaq,gl,48.2,34,88,18.34
68.14878131691216,-15.573664533812575,husavik,is,24.66,85,12,7.31
-2.191926189252797,-157.83659878822593,faanui,pf,80.64,100,0,11.45
-21.450569695811126,170.48834271260944,isangel,vu,81.94,100,20,12.57
-47.3990038336263,46.685941408669464,tsihombe,mg,,,,
-13.30702992628214,-72.40059223221016,urubamba,pe,57.2,62,90,3.36
59.87836612751394,60.40340668927044,rudnichnyy,ru,3.24,54,0,7.99
4.907575495194109,66.40889257478551,eydhafushi,mv,83.16,100,0,6.76
0.942407172059788,166.41271161593744,bairiki,ki,,,,
-38.373365300133116,-61.71040181550222,punta alta,ar,86,70,20,9.17
-27.504988312718474,55.68687221653394,saint-joseph,re,45.19,75,0,3.36
86.02258502396418,-173.6532525450021,mys shmidta,ru,,,,
-2.577651063268277,85.96425153499814,hambantota,lk,78.52,100,80,9.44
53.96594900352869,65.97804827442525,polovinnoye,ru,30.28,94,88,10.78
31.01754368319604,26.606082741579655,marsa matruh,eg,59,87,0,10.29
-28.450102294266387,-73.7478844820109,coquimbo,cl,60.8,87,0,4.7
80.83245421052806,-55.87755422750857,upernavik,gl,4.27,100,80,19.84
-37.150346555741756,-48.68988066871884,chuy,uy,72.67,77,100,17.72
86.98779434529945,-11.323152592223408,illoqqortoormiut,gl,,,,
39.39050767622888,6.248475295488618,mahon,es,28.4,79,40,14.99
33.71582967566472,-31.06118011168394,ribeira grande,pt,63.13,95,20,15.48
35.88715557910923,49.83008306801824,takestan,ir,29.02,95,0,11.01
75.78294226669158,16.98662393547147,longyearbyen,sj,24.8,73,20,31.09
9.92957180259333,-164.59700827501,makakilo city,us,82.83,69,20,5.82
